127.0.0.1 - - [04/Sep/2018:10:46:52 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Sep/2018:10:47:04 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [04/Sep/2018:10:47:04 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2018:10:47:04 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2018:10:47:12 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 9429
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:23 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:25 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:25 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:25 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:25 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:30 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:30 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:41 +0900] "POST /sample-web/CreateUserAction.action HTTP/1.1" 200 4804
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:41 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:54 +0900] "POST /sample-web/CreateUserConfirmAction.action HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:38:54 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:39:05 +0900] "POST /sample-web/CreateUserConfirmAction.action HTTP/1.1" 200 4978
0:0:0:0:0:0:0:1 - - [04/Sep/2018:11:39:05 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
